id_school,school_city,category,grade,major,school_name
62779d82-b1db-4346-8f6d-984a53c7679e,Medan,3,3.14,S1,Mikroskil University
78851048-ec26-48f1-a2b1-be0bb1b1db2b,Jakarta,4,100,Bootcamp,Fullstack Web Fazztrack
